issue_type,guilty,case_count,total_cases,percentage,related_laws,defendant_behavior,key_evidence,defense_reason,court_response,reference_cases
以幫助的方式參與詐欺行為,FALSE,18,118, 0.15 ,"《刑法》第30條, 《刑法》第30條第1項, 《刑法》第30條第1項前段, 《刑法》第339條, 《刑法》第339條第1項","被告提供帳戶是基於應徵工作之需要，並未參與詐欺行為。
被告提供帳戶給他人，並不知其後的使用情形。
被告寄出提款卡，但否認有犯罪意圖。
被告提供金融帳戶資料予詐欺集團成員，並聲稱未參與詐欺行為。
被告提供帳戶予他人，聲稱是為了工作薪資匯款。","被告的供述與證人證言一致，顯示其並未參與詐欺，無犯罪故意的證據。
被告的行為與前案相同，且已經判決無罪，顯示其無幫助詐欺的意圖。
被告提供的帳戶資料與詐欺集團行為有關聯，顯示其可能參與詐欺。
告訴人與證人和解，收回賠償款項，顯示被告的行為未造成實質損害。
被告的帳戶用於正常用途，無證據顯示其有意圖幫助詐欺。","被告主張其行為是出於求職的需要，並未意圖參與犯罪。
被告否認有任何違法行為，並表示帳戶是由他人使用，主張自己並不知情。
被告因失業急需工作，未能識破詐騙。
被告未直接參與詐騙行為，並在案發後主動聯繫銀行試圖補救。
被告因信任他人而誤信其為法律專業人士，主觀上並無幫助詐欺之故意。","法院認為被告的行為缺乏主觀故意，無法成立幫助犯，並且證據不足以證明其有罪。
法院認為檢察官未能提供足夠證據證明被告有罪，且被告的行為未顯示出主觀上有幫助詐欺的意圖。
法院認為被告的行為不構成犯罪，因為其未能合理預見該行為的後果，且與詐欺集團的行為並無直接關聯。
法院認為本案與前案具有想像競合犯之關係，故不受理本案，並依一事不再理之原則判決免訴。
法院認為被告的行為不符合幫助詐欺的構成要件，且無法排除被告是遭詐騙的可能性。","113-TW-1367, 112-TW-1541, 113-TW-0982, 113-TW-0174, 113-TW-1805"
參與犯罪組織,TRUE,8,8, 1.00 ,"《組織犯罪防制條例》第3條, 《組織犯罪防制條例》第4條","加入詐欺集團並參與其犯罪活動，與其他成員共同策劃並實施詐欺行為。
負責調派車手，協助詐欺集團進行犯罪行為，並收取被害人交付的金融帳戶提款卡、存摺、現金等財物。
提供帳戶給詐欺集團使用，並負責載送和上繳贓款。
招募未滿18歲之人加入詐欺集團，並負責收取贓款及協助詐欺行為。
擔任提款車手，協助詐騙集團提領資金，與其他成員共同策劃詐欺行為。","被告供述承認參與詐欺集團或犯罪組織的事實。
其他被告的供述證明該集團的組織性與持續性。
通訊紀錄顯示被告之間的共謀行為。
監視器畫面顯示被告在指定地點提領贓款或詐騙所得。
銀行交易明細與被告行為相符，顯示異常提款行為。","被告聲稱其參與詐欺集團的行為是被迫的，並未主動發起詐欺行為。
被告聲稱不知情，認為只是協助朋友，且未獲取報酬。
被告否認參與任何犯罪組織，聲稱只是偶然參與並不知情。
被告聲稱自己只是協助，並未直接參與詐欺行為。
被告主張其行為是出於無知或誤解，並非故意參與犯罪。","被告的行為符合組織犯罪的構成要件，且有明確的證據支持其罪行。
被告明知其行為可能涉及詐欺，仍選擇參與，符合參與犯罪組織的要件。
被告的辯解與證據不符，缺乏可信性，法院認為其行為符合參與犯罪組織的定義。
被告的行為符合招募未成年人的要件，且情節嚴重。
被告與其他成員有犯意聯絡及行為分擔，符合共同正犯的要件。","112-TW-0110, 112-TW-0162, 113-TW-1534, 113-TW-0422, 113-TW-1111"
預見金融帳戶可能被用於犯罪仍交付,TRUE,19,20, 0.95 ,"《洗錢防制法》第14條, 《洗錢防制法》第19條, 《洗錢防制法》第19條第1項, 《洗錢防制法》第19條第1項後段","被告明知提供金融帳戶可能被用於詐欺，仍選擇交付帳戶資料，顯示出故意的行為模式。
被告將金融帳戶及相關資料提供給詐欺集團，並協助其進行詐騙行為，顯示出積極參與的模式。
被告在提供帳戶時，已預見該帳戶可能被用於犯罪，並仍選擇交付，顯示出對後果的漠視。
被告在提供帳戶資料時，獲得報酬，顯示出為了金錢利益而協助詐騙的模式。
被告提供金融帳戶及密碼給不明人士，並未進行任何防範措施，顯示出疏忽的行為模式。","被告承認提供金融帳戶資料給詐欺集團成員，顯示其對該行為的認知與意圖。
銀行交易明細顯示該帳戶在短時間內有異常提款或資金流動，證明該帳戶被用於不法活動。
證人證述或對話紀錄顯示被告與詐欺集團成員有聯繫，進一步確認被告的參與程度。
被告在偵查或審理過程中自白，承認其行為及對詐騙行為的預見性。
被告的過往犯罪紀錄或類似行為，顯示其對詐欺集團手法的了解及故意參與的可能性。","不知帳戶用途，僅是協助他人，未獲取報酬，應不承擔刑責。
誤信對方指示，提供帳戶是為了辦理貸款，未預見會被用於犯罪。
因經濟困難或受到威脅而交付帳戶資料，認為只是協助辦理貸款。
主動聯繫銀行或報案，試圖補救，表明未意圖協助犯罪。
提供帳戶是基於信任，並未獲取報酬，認為不應承擔刑責。","被告可合理預見其提供的金融帳戶可能被用於不法行為，但仍選擇交付，符合犯罪構成要件。
被告的辯解缺乏可信度，未能推翻其主觀故意，且行為助長詐欺風氣，影響社會秩序。
根據法律，幫助犯罪即屬犯罪，無需證明被告實際獲利。
被告的行為已構成幫助洗錢罪，且可合理預見其行為可能導致的後果。
被告的辯詞不具可信性，因其應知悉提供帳戶的風險。","112-TW-0107, 113-TW-1499, 113-TW-0042, 113-TW-0468, 113-TW-0580"
預見金融帳戶可能被用於犯罪仍交付,FALSE,1,20, 0.05 ,《洗錢防制法》第19條,"被告對詐欺集團的意圖缺乏明確認知，並未意圖協助詐欺行為。
被告在提供帳戶時未充分了解該行為的法律後果，顯示出對詐欺行為的無知。
被告的帳戶提供行為是出於信任或誤信他人，並非出於犯罪目的。
被告未曾參與詐欺集團的其他活動，顯示其行為的獨立性。
被告在提供帳戶後並未獲取任何利益，顯示其行為缺乏犯罪意圖。","1. 被告缺乏主觀故意：在某些案件中，法院認為被告並未具備預見或故意的意圖，例如在113-TW-2119案中，被告可能對交付金融機構帳戶資料的後果缺乏認知，從而無法構成詐欺或洗錢的幫助。
2. 行為的合法性：若被告的行為在法律上被視為合法，則可能不構成犯罪。在此案中，若被告交付資料的行為是基於合法的商業目的，則可視為無罪。
3. 缺乏直接證據鏈：在無罪案件中，常見的模式是缺乏直接證據證明被告的行為與犯罪結果之間的因果關係。例如，若無法證明被告的資料交付直接導致詐欺或洗錢行為，則可能導致無罪判決。
4. 受害者的行為影響：有時候，受害者的行為可能影響案件的判決結果。如果受害者在某種程度上對詐欺行為的發生負有責任，則被告的罪責可能會被減輕或免除。
5. 證據的合理懷疑：在刑事案件中，若存在合理懷疑，則被告應被判無罪。若法院認為對被告的指控缺乏足夠的證據支持，則可基於合理懷疑原則作出無罪判決。","- 被告缺乏主觀故意：辯護方主張被告在交付金融機構帳戶資料時，並未意識到該行為會導致詐欺或洗錢，因而缺乏該行為所需的主觀故意。類似於案例113-TW-2119中，被告可能認為資料交付是合法的，未能預見其後果。
- 行為的合法性：辯護方可能指出，被告的行為在當時的情境下是合法的，並未違反任何法律規定，這使得其行為不構成犯罪。此類辯護在其他案件中也常見，例如在某些情況下，資料的交付是基於法律義務或業務需要。
- 缺乏直接證據：辯護方可能強調檢方未能提供足夠的直接證據來證明被告的行為與詐欺或洗錢之間的因果關係，這使得控方的指控無法成立。這種辯護在許多無罪案件中都能見到，強調證據的不足。
- 他人行為的不可預見性：辯護方可能主張，即使被告交付了帳戶資料，該資料的使用完全取決於他人，且被告無法預見他人會利用這些資料進行非法行為。這種情況在類似案件中經常被引用，強調被告的行為與最終結果之間的脫節。
- 社會責任的誤解：辯護方可能指出，被告在交付資料時是基於對社會責任的誤解，認為這樣的行為是對某種社會或商業需求的回應，而非故意助長犯罪。這種論點在一些案例中被用來解釋被告的動機和意圖。","1. 一事不再理原則：法院認為同一行為已在先前案件中裁定，因此根據一事不再理的原則，對於相同事實不再重複審理，直接判決免訴。
2. 行為預見性不足：法院可能認為被告在交付帳戶資料時，未能合理預見該行為會導致詐欺或洗錢的結果，因此不構成犯罪。
3. 罪責不明確：法院可能指出，對於被告的行為是否構成幫助詐欺取財及洗錢，缺乏足夠的證據來證明其罪責，因此作出無罪判決。
4. 法律適用不當：法院可能認為檢方對於法律條文的適用不當，導致對被告的指控無法成立，因此選擇免訴。
5. 無犯罪事實存在：法院可能認為被告的行為並未實際造成任何犯罪事實的發生，因此在缺乏犯罪事實的情況下，作出無罪判決。",113-TW-2119
預見提供帳戶可能幫助詐欺行為,TRUE,6,9, 0.67 ,"《洗錢防制法》第14條, 《洗錢防制法》第19條","被告將金融帳戶資料提供給詐欺集團成員使用，明知可能協助詐欺行為。
被告將金融機構帳戶提供給不相識之人，未能預見其可能被用作詐欺工具。
被告將銀行帳戶及密碼提供給不明人士，導致詐欺行為發生。
被告將提款卡及密碼提供給不詳詐欺者，協助其進行詐騙。
被告寄出金融卡及密碼給詐欺集團，迅速導致資金被提領。","被告提供金融帳戶資料給他人，明知可能被用於詐欺行為。
銀行交易紀錄顯示異常交易，證明帳戶被用於詐騙。
被告承認與詐欺者的聯絡，並提供帳戶資料。
受害者的匯款申請書及對話紀錄顯示詐騙行為的發生。
社群平台對話紀錄顯示被告與詐欺集團成員的聯絡。","被告聲稱不知其帳戶被用於詐騙，並否認有任何犯罪意圖。
被告表示因為被騙而提供帳戶資料，並曾懷疑對方的意圖。
被告主張是為了辦理貸款，並未意圖協助詐欺。
被告強調未獲取任何報酬，認為不應承擔刑責。
被告在案發後主動聯繫銀行掛失帳戶，試圖補救。","被告可合理預見其行為可能導致詐欺或洗錢，且未採取任何保護措施。
被告的辯解未能推翻其行為的犯罪性質，顯示其對該行為知情。
被告明知其行為可能助長詐欺風氣，仍選擇交付金融帳戶資料。
被告的行為符合犯罪構成要件，無需證明其實際獲利。
被告的辯解缺乏可信度，未能說明其行為的合理性。","112-TW-1221, 113-TW-0043, 113-TW-0134, 113-TW-1157, 113-TW-1162"
預見提供帳戶可能幫助詐欺行為,FALSE,3,9, 0.33 ,《洗錢防制法》第14條,"被告對於提供金融帳戶的後果缺乏預見性，認為僅是信任他人使用。
被告在提供帳戶時未充分考慮可能涉及的法律風險與後果。
被告將帳戶資料交予他人，未對其背景或行為進行調查。
被告對於詐欺行為的潛在風險持有輕視態度，未意識到其行為可能助長犯罪。
被告在提供帳戶時未設置任何限制或條件，導致帳戶被濫用。","被告的主觀意圖不足以證明其預見性，無法確定其行為直接導致他人犯罪。
被告在提供金融帳戶時未能證明其對詐騙行為的知情或意圖。
證人證言支持被告的行為並不構成犯罪的直接參與。
告訴人與相關證人和解，顯示出受害者對被告行為的認可或不再追究。
被告的前案有罪判決未能直接影響本案的預見性評估。","被告主張對於他人使用金融帳戶的行為並不知情，無法預見其可能的犯罪後果。
被告強調提供金融帳戶的行為並無直接的犯罪意圖，且未能證明自己有意圖協助犯罪。
被告辯稱帳戶的使用者為他人，自己並未參與該行為，無法承擔法律責任。
被告指出缺乏證據證明其行為與犯罪之間的因果關係，無法證明其有助於犯罪的意圖。
被告提出在提供帳戶之前並未有任何犯罪的前科或意圖，強調行為的無知與無辜。","被告未顯示出主觀上有幫助詐欺的意圖，缺乏犯罪故意。
檢察官未能提供足夠證據證明被告有罪，導致判決無罪。
案件之間存在裁判上一罪關係，故不經言詞辯論而判決免訴。
無法確定被告有幫助洗錢的故意，證據不足。
被告行為未能顯示出可預見性，無法證明其行為對犯罪的實質幫助。","112-TW-1541, 113-TW-1805, 113-TW-2214"
提供金融帳戶資料幫助詐欺行為,TRUE,1,1, 1.00 ,《刑法》第30條,"提供帳戶資料以協助詐騙集團進行詐騙，屬於共犯行為，顯示被告明知其行為將助長詐騙行為的發生。
故意隱瞞詐騙集團的真實意圖，利用他人信任進行詐騙，顯示被告在行為中有意識地參與詐騙過程。
利用他人名義開設銀行帳戶，為詐騙集團提供掩護，顯示被告在詐騙行為中扮演了重要角色。
提供虛假資訊或文件以協助詐騙集團，顯示被告對詐騙行為的積極參與和支持。
故意協助詐騙集團轉移資金，顯示被告的行為直接影響了詐騙所得的流向和處理。","1. 被告提供帳戶資料給詐騙集團，並明知該資料將被用於非法活動，顯示其故意協助詐騙行為。
2. 被告的帳戶被用於接收詐騙所得，且該行為與詐騙集團的運作模式相符，顯示其參與詐騙的意圖。
3. 被告與詐騙集團之間存在聯繫，並在詐騙過程中扮演關鍵角色，顯示其對詐騙行為的默許或支持。
4. 被告在提供帳戶資料後，未對該資料的使用進行任何監督或限制，顯示其對詐騙行為的放任態度。
5. 被告的行為與其他已知的詐騙案件模式相似，顯示其行為具有系統性和重複性，強化了其參與詐騙的可能性。","被告主張無知，表示其對於提供帳戶資料的行為並不知情，並未意識到這會涉及詐欺行為，類似於案例112-TW-1221中被告的辯護。
被告強調未獲取任何報酬，認為其行為並非出於個人利益，而是出於善意或誤解，這一點在許多詐欺案件中常被提及。
被告提出缺乏故意，認為其行為並未具備詐欺罪所需的主觀故意，這在法律上常被用來辯護，強調行為的無意性。
被告辯稱行為的合法性，認為其提供帳戶資料的行為在當時並不違法，這一論點在某些案例中被用來挑戰法律適用的範圍。
被告引用他人行為，認為自己只是依賴他人的指示行事，並未直接參與詐欺行為，這種辯護在多起案件中被用來減輕責任。","被告行為符合犯罪構成要件，法院認為其行為直接促成詐欺行為的發生。
被告辯詞缺乏可信度，法院認為其辯護無法有效反駁檢方的指控。
法院強調被告的行為具有明顯的故意，顯示出其對詐欺行為的支持與協助。
案件中引用類似案例，強調類似情況下的判決結果，以支持法院的裁定。
法院認為被告未能提供足夠的證據證明其行為的合法性，進一步加強其罪責。",112-TW-1221
以幫助犯身份參與詐欺及洗錢行為,TRUE,18,20, 0.90 ,"《刑法》第30條, 《刑法》第30條第1項, 《刑法》第339條之4","提供金融帳戶資料以協助詐欺集團進行犯罪行為，明知該行為可能導致他人損失。
提供銀行帳戶或提款卡及密碼，作為詐欺集團進行詐騙及洗錢的工具。
介紹他人取得銀行帳戶，明知該帳戶將被用於詐欺行為。
提供多個帳戶供詐欺集團使用，明知其行為可能隱匿犯罪所得。
提供金融帳戶以掩飾資金流向，協助詐欺集團隱匿不法利益。","被告提供帳戶資料供詐欺集團使用，並因此參與詐欺及洗錢行為。
被告的自白及證人證述顯示其明知行為後果，並協助詐欺行為。
銀行交易明細顯示詐欺款項流向與被告的帳戶有直接關聯。
被告的行為造成金流斷點，影響檢警追查資金來源。
被告與詐欺集團成員的對話紀錄顯示其參與程度及犯意聯絡。","被告否認有任何詐欺或洗錢的意圖，主張僅是協助朋友或提供帳戶資料，並未獲取報酬。
被告主張未直接參與詐欺行為，僅提供帳戶，並聲稱其行為不構成詐欺罪。
被告表示其行為是出於信任或誤信，並非故意犯罪，且未獲取任何利益。
被告聲稱自己也是受害者，並否認有意參與詐欺及洗錢行為。
被告主張其行為是出於急需，並非故意協助犯罪。","被告的行為符合詐欺及洗錢的構成要件，且辯解缺乏可信性。
被告的行為符合幫助犯的定義，應負刑事責任。
被告主觀上具備不法意識，且行為對詐欺實施有直接助力。
被告的辯解未能推翻其犯罪事實，法院認定其行為已構成幫助犯。
被告的行為已構成幫助詐欺，並應承擔相應的法律責任。","113-TW-0422, 113-TW-0063, 113-TW-0020, 113-TW-0222, 113-TW-0377"
以幫助犯身份參與詐欺及洗錢行為,FALSE,2,20, 0.10 ,"《刑法》第30條第1項前段, 《洗錢防制法》第14條","基於信任交付帳戶資料，認為行為合法。
無意識協助詐欺集團，缺乏對詐騙行為的認知。
誤信虛擬貨幣投資的合法性，導致交付帳戶。
對詐欺集團的背景缺乏調查，輕信他人。
未考慮到交付帳戶可能造成的法律後果。","被告與他人之間的親密關係可能被解釋為無罪的證據，顯示其行為並非出於詐欺意圖。
無異常交易的帳戶交易明細可作為被告未參與詐欺或洗錢的證據。
被告主動報案的行為顯示其無不法意圖，反而可能是協助調查的表現。
通訊紀錄的內容若無明確詐欺意圖，則可支持被告的無罪主張。
異常資金流動的證據若無法直接連結至被告，則可能無法證明其有罪。","基於信任他人而交付帳戶，未預見該行為會被用於犯罪。
強調未獲取任何報酬，並無個人利益動機。
主動報警處理，顯示對於不法行為的反對態度。
在交付帳戶前已確認行為的合法性，顯示善意。
否認故意，強調缺乏詐欺或洗錢的主觀意圖。","被告主觀上無故意，無法證明其意圖參與犯罪行為。
證據不足以支持被告有不確定故意，應判無罪。
案件因重複起訴而不受理，無法進一步審理。
被告對犯罪結果的預見性不足，無法構成共犯。
法院強調主觀故意的重要性，無法僅依推測判定罪責。","112-TW-1251, 113-TW-3201"
幫助詐欺取財之不確定故意,TRUE,2,5, 0.40 ,《洗錢防制法》第14條,"被告主動提供銀行帳戶及提款卡給詐欺集團，明知可能被用於詐騙行為。
被告在未經充分了解的情況下，將個人銀行資料交給他人，顯示出不負責任的行為。
被告協助詐欺集團隱匿詐騙所得，顯示出對詐騙行為的默許或放任。
被告在提供資料時，對詐欺集團的真實意圖缺乏警覺，顯示出不確定故意的存在。
被告的行為導致詐欺集團能夠迅速提領資金，顯示出其行為對詐騙活動的直接促進作用。","被告坦承犯行並與證人證述相符。
銀行交易明細顯示異常交易或大量提款。
被告提供工具或資源供詐欺集團使用。
對話紀錄顯示被告與詐欺集團的直接聯繫。
被告的行為顯示出不確定故意的意圖。","被告聲稱未明確知道該行為的後果，並未獲取報酬。
被告表示對詐欺行為感到疑慮，並曾詢問對方是否為詐欺集團。
被告主張其行為是基於誤信對方的指示，並無意圖參與詐欺。
被告在偵查中坦承犯行，但強調未獲取任何利益。
被告認為自身並未具備詐欺的故意，因為其行為是出於善意的誤解。","被告的行為助長詐欺風氣，對社會秩序造成影響，應予以重視。
被告明知帳戶可能被用於不法行為，仍選擇交付，符合犯罪構成要件。
幫助他人犯罪即屬犯罪，無需證明被告實際獲利。
被告的行為對社會秩序造成負面影響，應加重刑度。
被告的行為符合洗錢罪的構成要件，需依法追究責任。","113-TW-0047, 113-TW-0117"
幫助詐欺取財之不確定故意,FALSE,3,5, 0.60 ,"《刑法》第30條, 《刑法》第339條","被告因應徵工作而交付帳戶資料，未預見該帳戶將被用於詐欺。
被告交付帳戶予他人，並未意圖協助詐欺行為。
被告在不知情的情況下提供帳戶資訊，未能預見其用途。
被告出於信任或合作的理由，交付帳戶資料，無詐欺意圖。
被告因缺乏對詐欺行為的認識而無意協助犯罪。","被告主動報案，顯示其無不法意圖及對事件的誠實態度。
被告對他人表現出信任，並未意識到可能涉及詐欺行為。
被告提供帳戶資料的行為是基於求職需求，並非用於詐欺目的。
帳戶交易明細顯示資金使用為日常生活開支，無不法獲利跡象。
被告的供述與通訊紀錄一致，支持其無罪主張。","基於信任行為，無意圖協助犯罪。
誤信合法工作機會，未預見違法用途。
受到他人話術影響，缺乏主觀故意。
缺乏明確證據，無法證明故意協助犯罪。
行為不具犯罪性，無法構成詐欺協助。","缺乏主觀故意：法院認為被告的行為缺乏詐欺的主觀故意，因此應該判決無罪。
未能證明不確定故意：檢察官未能提供足夠證據證明被告有不確定故意，導致無罪判決。
行為不構成犯罪：法院認為被告的行為在法律上不構成犯罪，故判決無罪。
合理預見能力不足：被告在特定情境下（如急迫求職）未能合理預見其行為可能導致的後果，因此不具犯罪意圖。
行為背景影響判決：法院考量被告的行為背景及動機，認為其行為並非出於詐欺意圖，進而作出無罪判決。","112-TW-1251, 113-TW-1451"
幫助他人實施洗錢行為,TRUE,20,21, 0.95 ,"《洗錢防制法》第14條, 《洗錢防制法》第19條","提供金融帳戶資料給詐欺集團，明知該帳戶將被用於詐騙及洗錢行為。
交付提款卡及密碼給詐欺集團成員，協助其進行詐騙及隱匿資金流向。
提供多個銀行帳戶的提款卡及密碼，幫助詐欺集團進行詐騙及洗錢行為。
將虛擬貨幣交易帳戶提供給詐欺集團，協助其進行洗錢行為。
明知行為可能導致不法利益，仍選擇交付金融帳戶資料給詐欺集團使用。","被告自白承認提供帳戶資料，並且銀行交易明細顯示該帳戶有異常交易。
被告的帳戶被用於接收詐騙款項，並有受害者的證詞證明其行為。
證人證述與被告供述一致，並提供對話紀錄截圖，顯示被告的行為與詐欺行為的關聯。
被告與詐欺集團成員有聯絡紀錄，並在銀行交易明細中顯示異常交易。
被告的行為被證明與詐欺行為的發生有直接關聯，並且有多筆異常交易紀錄。","未獲取報酬，並聲稱不知該行為會導致犯罪。
聲稱行為是出於信任，並未預見該帳戶會被用於犯罪。
主動聯繫警方或銀行，表達合作意願或試圖補救。
否認有意圖參與犯罪，僅提供帳戶資料。
強調經濟需求或友人需要，並表示不知其用途。","被告明知提供帳戶可能被用於不法，仍選擇交付，符合洗錢罪的構成要件，助長詐欺犯罪，影響社會秩序。
被告的行為符合洗錢罪的構成要件，且其自白及證據顯示其對行為的預見性，助長詐欺行為。
被告應可預見其行為可能導致洗錢，且仍選擇交付帳戶資料，符合犯罪構成要件，助長詐欺風氣。
被告的辯解未能推翻其犯罪事實，且其行為助長詐欺犯罪，影響社會秩序，應予以重罰。
根據法律，幫助犯罪即屬犯罪，無需證明被告實際獲利，且被告的行為已構成洗錢罪。","113-TW-0032, 113-TW-0165, 113-TW-0301, 113-TW-0354, 113-TW-0408"
幫助他人實施洗錢行為,FALSE,1,21, 0.05 ,《刑法》第339條,"被告主動報告可疑交易，顯示其對異常行為的警覺性和責任感。
被告在發現異常後迅速採取行動，如掛失帳戶，表明其不願意參與非法活動。
被告提供透明的交易記錄，協助調查，顯示其合作態度和清白意圖。
被告的行為符合合理的商業慣例，無法顯示出故意參與洗錢的意圖。
被告在事發後主動尋求法律諮詢，顯示其對法律規範的重視和遵守。","被告主動報案，顯示其無意圖參與犯罪行為，反而協助執法機關查明事實。
被告的行為缺乏洗錢的典型特徵，無法證明其有意識地參與該行為。
證據顯示被告在發現可疑情況後，立即採取行動以防止進一步的違法行為。
缺乏直接證據連結被告與洗錢行為，無法證明其參與或共謀。
被告的行為符合合法經濟活動的範疇，未顯示出任何洗錢的意圖或行為。","被告主張其行為是出於求職需要，並未意圖參與洗錢，強調行為的動機與目的並非犯罪。
被告提出缺乏直接證據，認為控方未能證明其參與洗錢的具體行為或意圖。
被告強調其行為的合法性，認為所涉及的交易並不違反法律規定，並未構成洗錢。
被告主張其對相關法律知識的缺乏，表示其行為並非故意違法，且未有意識到可能的法律後果。
被告引用他人證詞或證據，證明其行為在當時的情境下是合理的，並無意圖參與犯罪活動。","法院認為被告的行為不構成洗錢，因為其行為缺乏明確的犯罪意圖，無法證明其參與洗錢活動的必要要素。
法院指出證據不足，無法支持控方的指控，強調在刑事案件中，控方必須提供充分且具說服力的證據來證明被告的罪行。
法院強調被告的行為並未顯示出與洗錢相關的典型特徵，並指出缺乏直接證據來連結被告與洗錢行為之間的關係。
法院認為被告的行為可能存在其他合理解釋，這些解釋並未被控方有效駁斥，導致無法確定其有罪。
法院在判決中提到法律原則，即在疑點利益歸於被告，這一原則在本案中適用，進一步支持了無罪的判決。",113-TW-1367
明知帳戶可能被用於洗錢仍交付,TRUE,28,31, 0.90 ,"《洗錢防制法》第14條, 《洗錢防制法》第19條","被告明知其提供的金融帳戶可能被用於洗錢，仍選擇交付。
被告預見其提供的金融帳戶可能被用於洗錢行為，並仍選擇交付。
被告將金融帳戶資料提供給詐欺集團成員，並協助開通網銀功能。
被告以金錢為代價，將其金融帳戶資料提供給詐欺集團成員。
被告將未成年子女名下的金融帳戶交付給詐欺集團成員使用。","被告承認在警詢或偵查中提供帳戶資料，顯示其明知行為可能涉及洗錢。
銀行交易明細顯示該帳戶有異常交易，支持被告的行為與洗錢活動的關聯。
被告與詐欺集團成員的通訊紀錄證明其意圖或知情，顯示其參與詐騙行為。
證人證述或受害者提供的匯款單據支持被告的行為導致他人受騙。
被告在準備程序中自白，承認其提供帳戶的事實，強化其明知的立場。","被告因急需資金而未加思索提供帳戶資料，聲稱不知對方為詐欺集團，並有向合法公司詢問貸款的行為。
被告聲稱因網路交友而誤信對方指示提供帳戶，並未獲取報酬，認為不應承擔刑責。
被告辯稱不知對方的真實意圖，並未預見其行為會導致犯罪，且在案發後主動聯繫銀行試圖補救。
被告聲稱提供帳戶是為了協助辦理貸款，並未預見其用途，且未獲取報酬。
被告表示因經濟壓力而輕信他人，誤以為提供帳戶是為了貸款，並在案發後主動聯繫銀行掛失帳戶。","被告可合理預見其提供的金融帳戶可能被用於洗錢，且仍選擇交付，符合犯罪構成要件。
被告明知其行為可能助長詐欺，仍選擇交付帳戶，符合犯罪構成要件。
被告的辯解未能推翻其主觀故意的存在，且行為已造成社會危害。
被告未能提供足夠證據證明其無罪，且其行為助長詐欺犯罪。
根據法律，幫助犯罪即屬犯罪，無須證明被告實際獲利。","112-TW-1484, 113-TW-0903, 113-TW-0026, 113-TW-0030, 113-TW-0054"
明知帳戶可能被用於洗錢仍交付,FALSE,3,31, 0.10 ,《洗錢防制法》第14條,"被告在不知情的情況下提供帳戶資料，並在發現詐騙後立即報案。
被告明知其帳戶可能被用於詐騙活動，仍然選擇交付帳戶資料並收取租金。
被告協助他人進行金流美化，並依指示提領款項交給詐欺集團成員。
被告在提供提款卡及密碼後，對詐騙行為的後果缺乏警覺，導致後續問題。
被告在提供帳戶後，未能及時察覺詐騙行為的風險，顯示出對詐騙集團的信任。","被告主動聯繫警方，顯示無意圖協助犯罪。
被告對金流的誤解，顯示缺乏洗錢意圖。
被告尋求貸款，顯示其行為的合法性。
通話紀錄顯示被告對詐欺集團的認知不足。
帳戶交易明細顯示款項來源不明，無法證明洗錢意圖。","被告主張其行為是出於貸款需求，並未獲取報酬，顯示其無意圖協助洗錢。
被告辯稱其並未直接參與洗錢行為，且其行為不構成犯罪。
被告認為其提供帳戶是因為對該行為的後果並不知情，並非故意參與洗錢。
被告在發現異常後立即報案，顯示其無意圖協助洗錢。
被告強調其行為是基於信任，並未意識到可能涉及非法活動。","被告缺乏犯罪故意，行為基於其他合理需求。
檢察官未能證明被告有意圖隱匿或協助洗錢。
被告的行為未達到洗錢的故意標準。
案件涉及重複起訴，與前案有想像競合犯之關係。
基於無罪推定原則，法院判決被告無罪。","113-TW-0124, 113-TW-0290, 113-TW-0248"
明知帳戶可能被用於詐欺仍交付,TRUE,9,17, 0.53 ,"《洗錢防制法》第14條, 《洗錢防制法》第19條","提供金融帳戶資訊給詐欺集團，明知可能被用於詐欺，仍選擇交付。
將提款卡及密碼寄送或傳送給詐欺集團成員，明知其用途不當。
開立新帳戶並提供給詐欺集團使用，並依指示提領資金。
要求他人設立公司並申辦銀行帳戶，將帳戶資料交給詐欺集團成員。
在被查獲後仍重新申辦金融卡並提供給詐欺集團，顯示持續參與。","被告的銀行交易明細顯示異常提款或資金流動，顯示其帳戶可能被用於詐欺。
被告與詐欺集團成員的通話紀錄或對話紀錄，顯示其明知帳戶可能被用於詐欺的意圖。
被告提供提款卡及密碼給詐欺集團，顯示其主動協助詐欺行為。
受害者的匯款明細及證詞，確認被告的帳戶被用於詐騙，增強其知情的證據。
被告在警詢中自白或承認帳戶為其所申設，顯示其對帳戶使用情況的認知。","被告聲稱因急需資金而被利用，並未意圖犯罪，未獲取報酬。
被告表示誤信對方指示提供帳戶，並主動報案或掛失帳戶以示補救。
被告辯稱不知該帳戶會被用於詐欺，並強調未獲取任何報酬。
被告聲稱其行為僅為協助親人處理事務，並未意圖犯罪。
被告表示對詐騙行為缺乏警覺，因曾遭詐騙而誤信他人。","被告明知其金融帳戶可能被用於詐欺，仍選擇交付，符合犯罪構成要件。
被告可合理預見帳戶可能被用於不法，但仍選擇交付，符合犯罪構成要件。
被告的辯詞不具說服力，未能證明其無罪或合理解釋其行為。
被告的行為助長詐欺風氣，影響社會秩序，應依法處罰。
根據法律，幫助犯罪即屬犯罪，無須證明被告實際獲利。","113-TW-0090, 113-TW-0020, 113-TW-0004, 113-TW-0338, 113-TW-1703"
